Modality,Dataset type,Method/workflow,Dataset size,Size unit,Step,Runs,Median time (s),Q1 time (s),Q3 time (s)
scRNA-seq,Synthetic,core,25000,cells,pca,5,70.701,70.691,70.719
scRNA-seq,Synthetic,core,25000,cells,scale_data,5,1.46,1.458,1.462
scRNA-seq,Synthetic,core,25000,cells,umap,5,17.134,17.041,17.191
scRNA-seq,Synthetic,core,50000,cells,create_seurat_and_qc_metrics,5,2.005,2.003,2.006
scRNA-seq,Synthetic,core,50000,cells,find_clusters,5,53.217,52.951,53.304
scRNA-seq,Synthetic,core,50000,cells,find_neighbors,5,12.23,12.215,12.473
scRNA-seq,Synthetic,core,50000,cells,find_variable_features,5,1.876,1.873,1.882
scRNA-seq,Synthetic,core,50000,cells,normalize_lognormalize,5,1.229,1.229,1.233
scRNA-seq,Synthetic,core,50000,cells,pca,5,179.488,179.321,182.798
scRNA-seq,Synthetic,core,50000,cells,scale_data,5,2.45,2.441,2.452
scRNA-seq,Synthetic,core,50000,cells,umap,5,37.429,37.253,37.523
scRNA-seq,Synthetic,marker_truth_labels,2500,cells,find_all_markers_truth_labels,5,0.767,0.764,0.779
scRNA-seq,Synthetic,marker_truth_labels,5000,cells,find_all_markers_truth_labels,5,1.208,1.205,1.214
scRNA-seq,Synthetic,marker_truth_labels,10000,cells,find_all_markers_truth_labels,5,1.898,1.898,1.901
scRNA-seq,Synthetic,marker_truth_labels,25000,cells,find_all_markers_truth_labels,5,4.069,4.044,4.074
scRNA-seq,Synthetic,marker_truth_labels,50000,cells,find_all_markers_truth_labels,5,7.625,7.568,8.096
