"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00140182797925746,0.250174344401487,0.32,0.135,1,"10","Alg10b"
0.00140681309762814,0.741842510302005,0.2,0.07,1,"10","Taf1b"
0.00141122347473432,1.19043172880171,0.14,0.049,1,"10","Plpp6"
0.00141462011750766,0.286826694621896,0.78,0.435,1,"10","Sar1b"
0.00141720089397863,0.580665106841832,0.22,0.089,1,"10","Rubcn"
0.00141819666997876,0.736740078004213,0.18,0.058,1,"10","Def8"
0.00141983471993137,0.612523175749326,0.26,0.094,1,"10","Pcsk7"
0.00143642492237367,0.335171715635526,0.78,0.454,1,"10","Cplx3"
0.00143913577332158,4.96046770245682,0.1,0.017,1,"10","Sncg"
0.00144538906788437,1.11618288637357,0.14,0.04,1,"10","Zfp790"
0.00144538906788437,1.32464181656044,0.14,0.04,1,"10","Dach2"
0.00144597854411025,0.506304691996673,0.4,0.154,1,"10","Med8"
0.00144729895619741,0.87115718199074,0.2,0.052,1,"10","Man1a"
0.0014535170452179,0.297746505732448,1,0.766,1,"10","Rps25"
0.00145471556501625,0.596357586637452,0.3,0.103,1,"10","Rai1"
0.00145680736074091,0.269179747471375,0.28,0.122,1,"10","Plcl1"
0.00146355531306948,0.945886836400996,0.16,0.04,1,"10","Zfp248"
0.00146462416924359,0.542425508688905,0.3,0.123,1,"10","Dcun1d1"
0.0014661382403706,0.543996734509674,0.68,0.356,1,"10","Mrps24"
0.00146966902762672,0.334792618337683,0.28,0.112,1,"10","Tufm"
0.0014726710720321,0.305664368710408,0.44,0.212,1,"10","Arpc5"
0.00148368261399112,0.557059593515723,0.28,0.109,1,"10","Ppp6r1"
0.00148453135055426,0.72562375143632,0.32,0.147,1,"10","Psmd10"
0.00148875144001456,0.360192426482215,0.86,0.467,1,"10","Chmp4b"
0.00148968630712729,0.395005790054896,0.28,0.113,1,"10","Cdk5"
0.00149040611668981,0.410188065326021,0.4,0.189,1,"10","Prpf6"
0.00149526758263762,0.787029270362925,0.36,0.171,1,"10","Samd4b"
0.00149664758503348,0.380219599089121,0.44,0.234,1,"10","Tmed3"
0.00150050874059958,0.250804162637356,0.4,0.173,1,"10","Prdm2"
0.00150091641187774,0.340231945079568,0.56,0.246,1,"10","Xbp1"
0.00150562146028427,0.312915954844703,0.44,0.197,1,"10","Smu1"
0.00151992049355366,0.463334070759936,0.36,0.159,1,"10","Ppm1h"
0.00152333431946626,0.749542963427109,0.14,0.045,1,"10","Prkaa1"
0.00152339162418758,1.06137632043537,0.26,0.074,1,"10","Eipr1"
0.00153188101542495,0.447821693549369,0.28,0.113,1,"10","Ncaph2"
0.00155009880004007,0.267120202574139,0.52,0.253,1,"10","Abcd3"
0.00155355388004488,0.564653566146675,0.3,0.104,1,"10","Sharpin"
0.00155496534681089,0.50819364228917,0.6,0.337,1,"10","Cux1"
0.00156081525029582,0.290891556938325,1,0.717,1,"10","Selenok"
0.00157801922807098,0.318405013262359,0.36,0.162,1,"10","Trak1"
0.00157815931799833,0.971511774283997,0.16,0.054,1,"10","Arfgap3"
0.00158617181905263,1.56129620680038,0.12,0.031,1,"10","Atad2"
0.00159987964705245,0.578311531223984,0.24,0.089,1,"10","Psmf1"
0.00161915514201571,0.618486889900815,0.14,0.044,1,"10","Pcdh8"
0.00161915514201571,0.298844189469238,0.14,0.064,1,"10","Tmem209"
0.00163435957986948,0.517935943119675,0.72,0.393,1,"10","Cyhr1"
0.00163685305102413,0.276301035114602,0.34,0.162,1,"10","Pold4"
0.00163854297067759,0.655097040943646,0.2,0.053,1,"10","Atg2b"
0.00164606915165866,0.627631767614761,0.2,0.078,1,"10","Urgcp"
0.00165707136013258,0.582880668949117,0.24,0.082,1,"10","Map3k10"
0.00166006901225615,0.335305048767646,0.82,0.481,1,"10","Pcbp1"
0.00166082449090308,1.85927205736513,0.1,0.025,1,"10","Zscan22"
0.00166189470441351,1.1147138573002,0.14,0.033,1,"10","Kcnj12"
0.00170751086436083,0.751266993600799,0.34,0.127,1,"10","Ergic1"
0.00172734022281242,0.319047180797274,0.68,0.418,1,"10","Tmem147"
0.00173610607743682,0.528163088149456,0.24,0.116,1,"10","Pdhx"
0.00174157007357839,0.313332561819462,0.24,0.1,1,"10","Snx13"
0.00174463948091117,0.263738712846936,0.76,0.487,1,"10","Hnrnpr"
0.00174612846631839,1.16495223022886,0.12,0.037,1,"10","Mtfmt"
0.00175018332222543,0.285197652366165,0.34,0.172,1,"10","Tmem263"
0.00175050375895136,0.465718030786546,0.14,0.049,1,"10","Tmem267"
0.00176497628762749,1.00724998455885,0.18,0.059,1,"10","Fgf11"
0.00176915695527378,0.42789461186747,0.22,0.104,1,"10","Vti1a"
0.00177710003596591,0.370831105695991,0.64,0.352,1,"10","Fundc2"
0.00178736828129643,0.357805471714962,0.46,0.183,1,"10","3110021N24Rik"
0.00178954782527321,1.00454674338216,0.16,0.04,1,"10","Skp2"
0.0017906376031032,1.24198577895061,0.18,0.056,1,"10","Polr3c"
0.00179693139939495,0.482707994088411,0.12,0.034,1,"10","Pwwp2b"
0.00179788442581153,0.313386210730928,0.26,0.099,1,"10","Nipsnap1"
0.00181149908776174,0.32916011025483,0.9,0.551,1,"10","Sec61g"
0.00181187600024677,0.453800773855463,0.26,0.093,1,"10","Trmt1"
0.0018160774844567,0.277803145210621,0.82,0.509,1,"10","Eif3k"
0.0018211264563949,0.475114097912348,0.98,0.645,1,"10","Ncam1"
0.00183160858678754,0.411983437867534,0.3,0.117,1,"10","Kat5"
0.00184908969149514,0.80009497658008,0.12,0.039,1,"10","Myo1c"
0.00185327891085124,0.622734655810338,0.4,0.193,1,"10","Bcl7a"
0.00186879641827447,0.337426698955328,0.58,0.287,1,"10","Gatad1"
0.00187137865856689,0.315752330224135,0.26,0.096,1,"10","Sugp1"
