"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.88667565676801e-26,1.27567150585215,0.572,0.188,3.49657599468816e-22,"9","Gsdme"
2.31542150383407e-26,1.40237575639312,0.349,0.059,4.29117067305568e-22,"9","Zfp941"
2.32532593737559e-26,3.28529126816909,0.3,0.035,4.30952655973818e-22,"9","Lrrc4"
2.78541469160332e-26,3.3210907851791,0.251,0.014,5.16220904794843e-22,"9","Opcml"
3.00201280398378e-26,2.20759834842399,0.297,0.029,5.56363032962314e-22,"9","Ntrk3"
3.04673335103867e-26,2.83781032386307,0.294,0.03,5.64651091947996e-22,"9","Brinp1"
3.07188353216e-26,1.96402756946894,0.364,0.063,5.69312175015213e-22,"9","Grm7"
3.27981918107729e-26,1.39085769497772,0.511,0.152,6.07848888829055e-22,"9","BC029722"
3.31026319740881e-26,1.96800986446717,0.394,0.074,6.13491078375775e-22,"9","Csdc2"
3.3870881967334e-26,2.88922502323104,0.291,0.029,6.27729055500601e-22,"9","Fgd6"
3.48755850260726e-26,1.12029572404198,0.627,0.23,6.46349217288203e-22,"9","Usp22"
4.22464642741922e-26,2.75254177010952,0.257,0.024,7.82953722393604e-22,"9","Nol3"
4.32058816426302e-26,1.9611999619148,0.343,0.062,8.00734604482866e-22,"9","Fam234b"
5.09475447074317e-26,1.1376613358871,0.688,0.245,9.44210846062831e-22,"9","Ppp3r1"
5.31593718586295e-26,1.69147502409853,0.422,0.095,9.8520263865598e-22,"9","Tmem178b"
6.374737552847e-26,1.09381240796374,0.746,0.303,1.18143011066913e-21,"9","Epm2aip1"
6.61552784204744e-26,0.811472621370796,0.945,0.737,1.22605577496665e-21,"9","Tuba1a"
7.00447858082017e-26,1.06037677415709,0.55,0.17,1.2981400153834e-21,"9","Rufy2"
7.02071555929216e-26,3.79525185685476,0.239,0.011,1.30114921460362e-21,"9","Tfap2c"
7.78368579380578e-26,2.86217911741965,0.287,0.026,1.44255048816603e-21,"9","Ppp1r16b"
7.82165653501738e-26,4.5643982534984,0.229,0.008,1.44958760563477e-21,"9","Cbln2"
7.9589375407246e-26,4.28127532734674,0.217,0.004,1.47502989442249e-21,"9","Mmp9"
7.96336694370947e-26,1.52448307936145,0.532,0.147,1.47585079567768e-21,"9","Pfkm"
8.02662840478274e-26,2.3923175380518,0.346,0.064,1.48757504225839e-21,"9","Fbxo32"
8.46379201372661e-26,1.24450611971119,0.633,0.203,1.56859457390395e-21,"9","Meaf6"
8.94279515717752e-26,1.91551191221497,0.318,0.046,1.65736822647971e-21,"9","Adarb2"
9.03272780477492e-26,1.1107198277201,0.358,0.068,1.67403544405894e-21,"9","Unc13a"
9.24302062174587e-26,2.77556410001458,0.291,0.028,1.71300901182816e-21,"9","Fam217b"
1.13999979402771e-25,0.847233834962392,0.621,0.256,2.11276161827155e-21,"9","Gpatch11"
1.17730521415059e-25,1.69774622936507,0.382,0.063,2.18189975338529e-21,"9","Kcnd3"
1.18923706735665e-25,2.6882677914536,0.245,0.013,2.20401305693208e-21,"9","Phf24"
1.2257234362395e-25,0.963871122378123,0.737,0.353,2.27163324438267e-21,"9","Tmem30a"
1.22988076960656e-25,0.86294987470274,0.908,0.648,2.27933803031184e-21,"9","Eif4a2"
1.39070912798369e-25,0.836707709111068,0.911,0.629,2.57740122689217e-21,"9","Set"
1.42059029712225e-25,3.04517430380258,0.254,0.015,2.63277999765666e-21,"9","Ptpro"
1.47648847581201e-25,1.60835768287976,0.379,0.071,2.73637609222239e-21,"9","Lrp11"
1.60882559374602e-25,3.83390514878268,0.214,0.006,2.98163647288949e-21,"9","Slitrk4"
1.64062431522187e-25,1.37928232120822,0.777,0.449,3.04056904340069e-21,"9","Gucy1a1"
1.64777024653482e-25,1.08464401651019,0.648,0.275,3.05381259790299e-21,"9","Suco"
1.77361997595734e-25,0.945017068433506,0.694,0.293,3.28704990144175e-21,"9","Dnm1l"
1.78398120443574e-25,1.14199338708541,0.498,0.146,3.30625236618075e-21,"9","Reep2"
1.78562098869143e-25,0.992355971387531,0.826,0.492,3.30929137834182e-21,"9","Rheb"
2.10008295783763e-25,0.565262162680092,0.988,0.843,3.89208374576048e-21,"9","Hspa8"
2.26573906109792e-25,1.30836055299349,0.554,0.156,4.19909420193277e-21,"9","Ptpn4"
2.32004346620397e-25,0.789721584928001,0.697,0.295,4.29973655591582e-21,"9","Maco1"
2.3299383093255e-25,2.652377347119,0.287,0.03,4.31807466867295e-21,"9","Scn1b"
2.34405135355069e-25,1.64205394157021,0.394,0.077,4.34423037353549e-21,"9","Usp45"
2.47243338744063e-25,1.37887948261299,0.85,0.46,4.58216079694372e-21,"9","Camk2n1"
2.64908782828776e-25,1.2081624992347,0.55,0.165,4.90955447216571e-21,"9","Fam49b"
2.7391771761948e-25,0.762031317398336,0.645,0.235,5.07651706064182e-21,"9","Pgm2l1"
2.80965882243042e-25,0.713938940406125,0.676,0.288,5.2071406956103e-21,"9","Zc3h13"
3.09813019671848e-25,2.15647059586771,0.382,0.071,5.74176469357837e-21,"9","Itpr1"
3.38322963637218e-25,1.49575506517033,0.33,0.06,6.27013948508856e-21,"9","Dscam"
3.43023798545523e-25,1.00411580236806,0.774,0.338,6.35726005844417e-21,"9","Hdgfl3"
3.46532678411236e-25,1.34261840713555,0.45,0.119,6.42229012899544e-21,"9","Pcp4l1"
3.64421052280082e-25,1.40533233442671,0.492,0.139,6.75381536190676e-21,"9","Gars"
4.06949044546528e-25,1.18160910555416,0.587,0.226,7.54198664258081e-21,"9","Vps41"
4.33811947271138e-25,0.736972301005398,0.74,0.326,8.03983681877599e-21,"9","Napg"
4.93869939240143e-25,1.29649022726873,0.557,0.182,9.15289158393757e-21,"9","Ube2q2"
