"logFC","logCPM","F","PValue","FDR","gene","lfc","padj","significant"
1.35937401863687,-1.58183000667345,31.6308692650212,6.47451379565268e-05,0.000215422454793986,"Irx3os",1.35937401863687,0.000215422454793986,TRUE
-0.262852764322734,4.90442010775929,31.5713385973029,6.47825227568177e-05,0.000215508947891087,"Alyref",-0.262852764322734,0.000215508947891087,FALSE
-0.443335395645434,4.16035572642321,31.5667573991387,6.48293834849162e-05,0.000215626928159885,"H2ax",-0.443335395645434,0.000215626928159885,FALSE
-1.3788780200876,-0.346418284098365,31.5934029786094,6.50993929901567e-05,0.000216486944492047,"Gm19696",-1.3788780200876,0.000216486944492047,TRUE
1.68173781453378,-0.638733691125126,31.7280196317412,6.51534432148985e-05,0.000216628615799035,"D830044D21Rik",1.68173781453378,0.000216628615799035,TRUE
-0.487003343756651,3.58638080687692,31.5325429412292,6.51803407772107e-05,0.000216679973328598,"Trmt11",-0.487003343756651,0.000216679973328598,FALSE
-0.481870332591692,6.50142663255757,31.5310800835359,6.51933921886354e-05,0.000216685291936301,"Arrdc3",-0.481870332591692,0.000216685291936301,FALSE
0.367811694459112,4.60657470370268,31.5120014254082,6.53893897561363e-05,0.000217298565677136,"Cpne4",0.367811694459112,0.000217298565677136,FALSE
0.22721207956678,8.9027593578977,31.4949971645728,6.5564272172035e-05,0.000217841467610052,"Nisch",0.22721207956678,0.000217841467610052,FALSE
-0.843886734199385,1.8640202007282,31.4789810726869,6.57532223347444e-05,0.000218430911695582,"Gm49747",-0.843886734199385,0.000218430911695582,FALSE
-0.354597379229713,5.24984537822147,31.4723310819693,6.57985713475245e-05,0.000218543192388601,"Atr",-0.354597379229713,0.000218543192388601,FALSE
-0.356524413129726,4.76864956871276,31.4594768302526,6.59319030670138e-05,0.000218947607903481,"Zbtb34",-0.356524413129726,0.000218947607903481,FALSE
0.688084173010909,2.08250761866113,31.4599673206924,6.59448947398295e-05,0.000218952324665214,"Cmya5",0.688084173010909,0.000218952324665214,FALSE
-0.295415322939058,5.42049113269601,31.4419115670256,6.61143994687982e-05,0.000219476608201509,"Aldh9a1",-0.295415322939058,0.000219476608201509,FALSE
0.288013756137525,9.3421040177814,31.437384659997,6.6161487280471e-05,0.000219594397881262,"Calm3",0.288013756137525,0.000219594397881262,FALSE
0.434608741297793,4.46645608962187,31.433889436994,6.61981742477138e-05,0.000219677631202252,"Ica1",0.434608741297793,0.000219677631202252,FALSE
2.63623895870874,5.29725171119999,31.4073307940142,6.64779981648321e-05,0.000220567540114844,"Cebpd",2.63623895870874,0.000220567540114844,TRUE
-0.322254384344481,6.70874806509499,31.3993019957918,6.6559684876133e-05,0.000220799852248631,"Htatsf1",-0.322254384344481,0.000220799852248631,FALSE
0.367038710786748,8.04303077368687,31.3842803578024,6.67174942290427e-05,0.000221284561928474,"Tmx4",0.367038710786748,0.000221284561928474,FALSE
-0.56812934048408,2.36832859873431,31.380855899952,6.67661864277621e-05,0.000221407251942887,"Oxld1",-0.56812934048408,0.000221407251942887,FALSE
0.430942357910723,3.95200694686729,31.3713413608063,6.68543005926157e-05,0.000221660605539421,"Gm45495",0.430942357910723,0.000221660605539421,FALSE
0.268550749597995,6.1200620593524,31.3658511268771,6.69117216011489e-05,0.000221812122658889,"Ccdc92",0.268550749597995,0.000221812122658889,FALSE
-0.635010805862085,2.42120033675019,31.3558416732778,6.7029544119001e-05,0.00022216378241719,"Gm43860",-0.635010805862085,0.00022216378241719,FALSE
-0.533937279609454,5.55858715177006,31.3484546805065,6.70956679259414e-05,0.000222343997985055,"E4f1",-0.533937279609454,0.000222343997985055,FALSE
0.423877790582192,3.2878854130566,31.3469979082009,6.7115457649333e-05,0.000222370633801555,"Cenpv",0.423877790582192,0.000222370633801555,FALSE
0.400062088595028,3.41636186328236,31.3386609768262,6.72024602551761e-05,0.00022261991473187,"Tmem28",0.400062088595028,0.00022261991473187,FALSE
-0.23150578334231,7.00884612632875,31.3303862853138,6.72872511071251e-05,0.000222861782854721,"Sec24c",-0.23150578334231,0.000222861782854721,FALSE
0.499178325491741,5.35797718427208,31.3137340427362,6.74644885589936e-05,0.000223385712618798,"Csf2ra",0.499178325491741,0.000223385712618798,FALSE
0.54074994067939,2.74699891794097,31.3142759864457,6.74690491288674e-05,0.000223385712618798,"Ramp2",0.54074994067939,0.000223385712618798,FALSE
-0.244283128055133,6.29252356748983,31.3101363700294,6.75027774905886e-05,0.000223458284758033,"Usf2",-0.244283128055133,0.000223458284758033,FALSE
0.970570316535437,2.37204136934167,31.3082791573162,6.75383562396442e-05,0.000223536955880103,"Nod1",0.970570316535437,0.000223536955880103,FALSE
-0.303821494330618,5.58606438101357,31.304120279406,6.75669896377993e-05,0.000223592615936768,"Zcrb1",-0.303821494330618,0.000223592615936768,FALSE
-0.379965806685909,5.26803887186401,31.3029238024917,6.75797916769418e-05,0.00022359587657127,"Trim25",-0.379965806685909,0.00022359587657127,FALSE
-0.506693491012361,3.92219817568194,31.2932289494307,6.76838480580944e-05,0.000223901009257913,"Zfp653",-0.506693491012361,0.000223901009257913,FALSE
1.29782610712859,0.580484998085998,31.3036870108085,6.77280023464708e-05,0.000224007911274239,"Phf11d",1.29782610712859,0.000224007911274239,TRUE
