Unnamed: 0,ERR5236650_f_Aligned.sortedByCoord.out.tsv,ERR5236654_f_Aligned.sortedByCoord.out.tsv,ERR5236653_f_Aligned.sortedByCoord.out.tsv,ERR5236639_f_Aligned.sortedByCoord.out.tsv,ERR5236616_m_Aligned.sortedByCoord.out.tsv,ERR5236648_m_Aligned.sortedByCoord.out.tsv,ERR5236652_m_Aligned.sortedByCoord.out.tsv
Ac002059.2,1,3,5,0,2,1,3
Ac002064.1,9,18,8,12,14,16,12
Ac002064.2,2,4,12,3,3,25,3
Ac002064.3,2,1,1,0,0,0,2
Ac002066.1,0,1,0,1,1,0,1
Ac002069.1,0,0,0,0,0,0,0
Ac002069.2,0,0,0,0,0,0,0
Ac002070.1,141,44,31,49,49,33,51
Ac002074.1,2,0,1,1,0,1,0
Ac002074.2,0,0,0,0,0,0,0
Ac002075.1,0,0,5,0,0,0,0
Ac002075.2,0,0,0,0,1,0,1
Ac002076.1,49,36,9,14,33,27,25
Ac002076.2,338,7,85,114,2,33,51
Ac002090.1,10,7,9,2,5,3,1
Ac002091.1,0,0,1,1,0,1,0
Ac002091.2,1,0,1,0,0,0,0
Ac002094.1,0,0,0,0,0,0,0
Ac002094.2,0,0,0,0,0,0,0
Ac002094.3,0,0,0,0,0,0,0
Ac002094.4,13,6,3,2,4,8,8
Ac002094.5,15,9,11,5,5,5,12
Ac002101.1,0,1,0,0,0,0,0
Ac002115.1,0,0,0,0,1,0,0
Ac002116.1,0,0,0,0,0,0,0
Ac002116.2,7,1,4,4,6,4,7
Ac002127.1,0,0,0,0,0,0,0
Ac002127.2,1,0,0,0,0,1,1
Ac002128.1,82,51,83,57,70,53,53
Ac002128.2,4,7,21,6,8,14,5
Ac002306.1,1,0,1,0,1,0,0
Ac002310.1,38,33,13,25,15,20,25
Ac002310.2,1,0,0,1,0,2,1
Ac002310.3,1,4,6,0,3,2,1
Ac002310.4,0,0,0,0,0,0,0
Ac002310.5,0,0,0,0,0,0,0
Ac002310.6,239,114,102,149,107,111,100
Ac002347.1,1,5,4,3,0,5,1
Ac002347.2,0,4,3,0,0,2,3
Ac002350.1,29,19,15,12,15,22,15
Ac002351.1,2,6,6,0,3,4,5
Ac002366.1,0,0,0,0,0,0,0
Ac002367.1,0,0,0,0,0,0,0
Ac002368.1,2,1,2,0,0,4,2
Ac002375.1,1,0,0,0,0,0,0
Ac002378.1,0,0,0,0,0,0,0
Ac002381.1,0,0,0,0,0,0,0
Ac002383.1,1,2,2,1,0,0,0
Ac002386.1,2,0,1,0,1,0,0
Ac002398.1,25,25,13,13,18,6,27
Ac002398.2,0,0,0,0,0,0,0
Ac002400.1,1,6,26,4,1,16,3
Ac002401.1,1,1,1,1,0,3,1
Ac002401.2,2,5,4,6,3,5,8
Ac002401.3,9,13,5,7,6,6,14
Ac002401.4,2,3,2,1,1,2,0
Ac002407.1,0,0,0,0,2,0,0
Ac002428.1,0,0,0,0,0,0,0
Ac002428.2,1,0,0,0,0,0,0
Ac002429.1,0,0,0,0,0,0,0
Ac002429.2,0,4,2,0,2,4,1
Ac002451.1,4,2,4,3,0,9,1
Ac002451.2,0,0,0,0,0,0,0
Ac002454.1,0,0,0,0,0,1,0
Ac002456.1,12,6,4,5,7,7,19
Ac002456.2,0,0,0,0,0,0,0
Ac002460.1,0,0,0,0,0,0,0
Ac002463.1,0,1,1,0,1,1,0
Ac002464.1,0,0,0,0,0,0,0
Ac002465.1,0,0,0,0,0,0,0
Ac002467.1,166,56,45,28,27,26,20
